url,address,price,State of the property,Availability,Number of bedrooms,postal_code,city,Surface bedroom 1,Livable surface,Furnished,Kitchen equipment,Kitchen type,Number of showers,Number of toilets,Type of heating,Type of glazing,Entry phone,Elevator,Access for disabled,Floor of appartment,Number of facades,Number of floors,Garden,Terrace,Surface terrace,Swimming pool,Specific primary energy consumption,Validity date EPC/PEB,CO2 emission,Certification - Electrical installation,Flooding Area type,Demarcated flooding area
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rbt41201,Coppietersstraat 20 04.01,480000,,,2,8420,wenduine,,98 m²,,,,,1,,,,Yes,Yes,4,,4,,Yes,,No,86 kWh/m²/year,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rwc35405,Langestraat 4 0302,298000,Excellent,,2,8420,wenduine,,69 m²,,,,,,Not specified,,,Yes,,,,,,Yes,,,202 kWh/m²/year,,,,no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbs36206,Marktstraat 15,329000,New,,2,1930,zaventem,,79 m²,No,Super equipped,,,,Electricity,,,Yes,,,4,4,No,Yes,6 m²,,,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1932/woluwe-saint-etienne/vbb80080,Lenneke Marelaan 42,295000,To renovate,On contract,3,1932,woluwe-saint-etienne,16 m²,110 m²,No,Fully equipped,Western kitchen,1,2,Gas,Double glass,Yes,Yes,,1,3,12,,Yes,9 m²,No,192 kWh/m²/year,18/09/2034,,"No, certificate does not comply",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbn99791,Steenokkerzeelstraat 8,340000,New,,2,1930,zaventem,,107 m²,No,,,,1,,,,Yes,,1,2,,No,Yes,6 m²,,30 kWh/m²/year,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/de-haan/rbt73047,Fierens-Gevaertlaan 1 glv,495000,Excellent,,4,8420,de-haan,,171 m²,,,,,2,Gas,Double glass,,,,1,,2,Yes,Yes,,No,388 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/8420/wenduine/rwc38705,Zeedijk 37 0801,380000,,,2,8420,wenduine,,60 m²,,Fully equipped,,,,Gas,,,Yes,,,,,,Yes,,No,371 kWh/m²/year,,,"yes, certificate in accordance",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1930/zaventem/rbk30752,Kerkplein 15,270000,New,,1,1930,zaventem,,67 m²,No,Super equipped,,,,Electricity,,,Yes,,,4,4,Yes,Yes,6 m²,,,,,"yes, certificate in accordance",(information not available),(information not available)
https://immovlan.be/en/detail/apartment/for-sale/1932/woluwe-saint-etienne/vbc01051,Lenneke Marelaan 18 084,375000,,,3,1932,woluwe-saint-etienne,,119 m²,No,Super equipped,,,1,Gas,,,Yes,,8,,9,No,Yes,10 m²,,142 kWh/m²/year,08/02/2033,,"No, certificate does not comply",no flooding area,(information not available)
https://immovlan.be/en/detail/apartment/for-sale/4100/seraing/vbc58936,Rue Wagner 181 01,215000,Normal,On contract,3,4100,seraing,7 m²,90 m²,No,Fully equipped,Western kitchen,1,1,Fuel oil,Double glass,Yes,No,No,1,3,2,No,No,,,423 kWh/m²/year,,106,,no flooding area,(information not available)
